585871,flood affected horsham prepares for peak,1
215768,dozens missing after indonesian ferry sinks,1
311431,nato force says dozens of taliban killed,1
452016,nations tense as n korea prepares missile launch,1
109292,fighting breaks out in afghanistan,1
405389,burke urged to see gippsland drought plight,1
663546,cyclone sinks australia day celebrations in wa,1
671315,storms to deliver more alice rain,1
526074,twin blasts rock moscow metro,1
350780,us risks running out of funds for iraq afghanistan,1
209641,ross river virus alert for nt,1
601190,libyan rebels fail to take gaddafis birth place,1
52064,gold coast storm damage bill continues rising,1
799306,beirut car bomb kills 20,1
956177,russia says it will step up air strikes against is targets,1
698243,feral fish overtake wa native species,1
43394,canberra communities to receive fire fighting,1
149218,govt upset over nt call for more fire funds,1
389603,israel hamas begin ceasefire,1
166206,militants say they did not intend to kill japanese,1
202652,toxic spill hits major chinese city,1
659997,arab monitor quits syria in disgust,1
1024851,search for mh370 suspended,1
982106,sri lanka faces new torture allegations,1
249060,typhoon kills 14 filipinos,1
192585,car bomb explodes in sri lankan capital,1
278652,bushs iraq plan to go ahead despite public,1
566429,war in afghanistan bring them home,1
772206,doctor says manus island a disaster for children,1
880648,berg dont rush to act on terrorism threat,1
507005,israel carries out settler shooting reprisal attack,1
288389,12 killed dozens missing in indonesian landslides,1
744657,nsw fire killed thousands of livestock katrina,1
249608,aust survivor tells of 5 metre tsunami,1
316629,200 feared dead after brazilian plane crash,1
564888,police killed in afghan blasts,1
405324,the ukraine looks to nato for safety,1
112784,emergency declared as brisbane factory blaze,1
305602,brisbane residents cut water use again,1,random
315204,gps urging flu shots,1,random
10281,fruit fly concerns spark warning,1,random
625545,hendra virus infects dog,1,random
892408,syrian refugees,1,random
340168,kurdish rebels free abducted turkish soldiers,1,random
255962,soldiers move into southern lebanon,1,random
263165,uk army chief insists britain will stay in iraq,1,random
85670,spain to pull troops out of iraq in 15 days,1,random
973532,tasmanian devils face new transmissable cancer threat,1,random
75430,estonian soldier dies after baghdad shooting,1,random
758076,trapped woman lucky to survive floodwaters,1,random
518190,positive response to ses flood efforts,1,random
652345,flood report to be handed to government,1,random
128732,three killed in baghdad clashes,1,random
799994,repairs following bundaberg floods yet to begin,1,random
631229,rebels say 400 dead in tripoli,1,random
40667,tahiti starts rescue operation for distressed ship,1,random
437891,electricity restored to 150000 vic homes,1,random
638933,resident blames development for increased flood,1,random
986802,canada aboriginal community declares suicide crisis emergency,1,random
209236,blizzards cause chaos in europe,1,random
67467,ship capsizes in freezing waters off norway,1,random
423445,navy rescues 12 from sinking boat off wa,1,random
73743,searing heat sparks health warning,1,random
589412,yasi leaves path of destruction,1,random
962853,severe storms moving into north western victoria,1,random
196261,search fails to find crashed plane,1,random
293274,drought hit producers to get rate rebate,1,random
59282,mexican radio executive shot dead,1,random
474412,police probe jakarta bombings school link,1,random
72278,palestinian boy shot dead,1,random
84107,storms lash bangladesh 14 killed,1,random
117729,kosciusko bushfire inquiry begins,1,random
319793,hospitals would fail to cope with terrorist attack,1,random
64478,two helicopters added to sa firefighting team,1,random
840166,cameras keep watch on flooded waterways,1,random
1689,un missile edict to iraq makes no difference us,1,random
1052342,trump thanks florida first responders for irma work,1,random
748733,live wild weather queensland calls in army,1,random
331926,elderly lives saved by flu vaccine exaggerated,1,random
697487,us refuses to give info on drone strikes,1,random
644650,casualties in the war against smugglers,1,random
334926,dfat not aware if australians involved in baghdad,1,random
307980,orange shire president begins lobby for drought,1,random
322958,authorities investigate suspected flu death,1,random
1010385,bali volcanic ash cancelled flights set to resume,1,random
755895,nsw cleans up as floodwaters recede,1,random
559849,government to help repair flood damage,1,random
609445,no survivors in indonesian plane crash,1,random
465161,teenager becomes sas 11th swine flu case,1,random
589318,palm island escapes severe cyclone yasi damage,1,random
809183,russia remands greenpeace activists over arctic oil protest,1,random
62338,bin laden tape appears old cia says,1,random
988586,hillsborough disaster timeline of events,1,random
1030600,110 people die in 48 hours in drought stricken somalia,1,random
174376,britain launches major terror probe,1,random
120178,afghan security foils bomb plot,1,random
512480,grampians under bushfire watch,1,random
396509,burma cyclone recovery cost to top 1 billion un,1,random
141234,zarqawi militants execute hostage on iraqi street,1,random
48177,billion dollar budget to beat flood prone chinese,1,random
28023,two iraqis killed 10 us soldiers wounded in,1,low confidence,0.8103305100392965
558738,hundreds evacuated in victorian flood disaster,1,low confidence,0.7645422379135758
